ShowDate	Venue	City	State	Set1	Set2	Set3	Comment	LastUpdate	UpdateID
11/23/91	Bradley Center	Milwaukee	WI	Cats Under The Stars Down Under The Stars, They Love Each Other, Lay Down Sally, The Night They Drove Old The Night They Drove Old Dixie Down, Rubin And Cherise, Money Honey, My Sisters And Brothers, Deal	Bright Side Of The Road, Waiting For A Miracle, Just In Case We Both Were Wrong We Both Were Wrong*, Shining Star, Ain't No Bread In The Breadbox, That Lucky Old Sun, Tangled Up In Blue		*=only time played	1/14/96 0:00:00	185
11/24/91	Target Center	Minneapolis	MN	How Sweet It Is To Be Loved By You,, Stop That Train, C'est La Vie (You Never Can Tell), Run For The Roses, And It Stoned Me, Lay Down Sally, My Sisters And Brothers, Deal	The The The Way You Do The Things You Do The Things You Do, Waiting For A Miracle, Ain't No Bread In The Breadbox, Shining Star, Don't Let Go, Midnight Moonlight, E: Wonderful World			1/14/96 0:00:00	186
12/07/91	Warfield Theater	San Francisco	CA	Jack-A-Roe, Spring In California, Grateful Dawg, Louis Collins, To Sea Once More, Friend Of The Devil, Wind and Rain, -Instrumental jam-, Arabia	Shady Grove, When First Unto This Country, Troubled In Mind, Take Me Back*, The Thrill Is Gone, So What?, Sitting Here In Limbo, Rocking Chair, Red Rockin' Chair Blues, I Ain't Never Seen Nobody Like You, God Rest Ye Merry Gentlemen**, E: Ripple		Garcia & Grisman. *= (Garcia and Grisman on Banjo), **= Grisman wishes everybody a Merry Christmas	1/14/96 0:00:00	187
12/08/91	Warfield Theater	San Francisco	CA	Shady Grove, Sitting Here In Limbo, Rosalie McFall, So What?, I Ain't Never Seen Nobody Like You, The Thrill Is Gone, Dawg's Waltz, Wind and Rain, Arabia	Red Rockin' Chair Blues, Troubled In Mind, Take Me Back*, Walkin' Boss, Jack-A-Roe, Friend Of The Devil, Louis Collins, Grateful Dawg, Russian Lullaby, God Rest Ye Merry Gentlemen, E: Ripple		Garcia & Grisman. *=Garcia and Grisman on banjo	1/14/96 0:00:00	188
12/09/91	Warfield Theater	San Francisco	CA	The Thrill Is Gone, I Ain't Never Seen Nobody Like You, Grateful Dawg, Two Soldiers, Louis Collins, Shady Grove, Friend Of The Devil, Arabia	Walkin' Boss, When First Unto This Country, Troubled In Mind, Sweet Sunny South, Tell it to Me, So What?, To Sea Once More, Sitting Here In Limbo, Russian Lullaby, Red Rockin' Chair Blues, Wind and Rain, God Rest Ye Merry Gentlemen, E: Eat My Dust		Garcia & Grisman	1/14/96 0:00:00	189
02/07/92	Henry J. Kaiser Convention Center	Oakland	CA	Cats Under The Stars Down Under The Stars Down Under the Stars, He Ain't Give You None, Money Honey, Lazy Bones, Run for the Roses, My Sisters And Brothers, Senor (Tales Of Yankee Power), Deal	Shining Star, Waiting for a Waiting For A Miracle, Think, Ain't No Bread in the Ain't No Bread In The Breadbox, Struggling Man, Evangeline, Lay Down Sally, E: Wonderful World			1/14/96 0:00:00	190
04/25/92	Event Center Arena @ San Jose State University	San Jose	CA	How Sweet It Is To Be Loved By You,, Stop That Train, C'est La Vie (You Never Can Tell), He Ain't Give You None, Lay Down Sally, And It Stoned Me, Brothers and Sisters, Deal	Shining Star, Tore Up Over You, The Maker, Struggling Man, Ain't No Bread In The Breadbox, Midnight Moonlight, E: Wonderful World		Vince and The Affordables opened	1/14/96 0:00:00	191
04/29/92	Warfield Theater	San Francisco	CA	The The The Way You Do The Things You Do The Things You Do, They Love Each Other, C'est La Vie (You Never Can Tell), Run For The Roses, Like A Road, The Maker, My Sisters And Brothers, Evangeline	Everybody Needs Somebody  To Love, He Ain't Give You None, I Shall Be Released, Lay Down Sally, Money Honey, That Lucky Old Sun, Tangled Up In Blue			1/14/96 0:00:00	192
04/30/92	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars, Senor (Tales Of Yankee Power), Let It Rock, Struggling Man, That's What Love Will Make You Do Will Make You Do, Throw Out The Lifeline, Lets Let's Spend The Night Together Together	Ain't No Bread In The Breadbox, And It Stoned Me, Rubin And Cherise, Gomorrah, Don't Let Go, The Maker, Midnight Moonlight			1/14/96 0:00:00	193
05/01/92	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, Stop that Train, Get Out Of My Life, Run for the Roses, Forever Young, My Sisters And Brothers, Deal	Shining Star, Money Honey, Ain't no Bread in the Ain't No Bread In The Breadbox, Mississippi Moon, The Maker, Wonderful World, Midnight Moonlight			1/14/96 0:00:00	194
05/02/92	Warfield Theater	San Francisco	CA	Second That Emotion, And It Stoned Me, Simple Twist Of Fate of Fate, Rubin And Cherise, Dear Prudence, My Sisters And Brothers, Let's Spend The Night Together	The The The Way You Do The Things You Do The Things You Do, Waiting For A Miracle, The Night They Drove Old The Night They Drove Old Dixie Down, Evangeline, Don't Let Go, Tangled Up In Blue			1/14/96 0:00:00	195
05/03/92	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars, Waiting For A Miracle, Run For The Roses, Struggling Man, Mission In The Rain, Lay Down Sally	Everybody Needs Somebody  To Love, Shining Star, Tore Up Over You, The Maker, Don't Let Go, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	196
05/07/92	Warfield Theater	San Francisco	CA	The Thrill Is Gone, Friend Of The Devil, Drink Up And Go Home, Casey Jones**, Grateful Dawg, Sitting Here In Limbo, Bag's Groove, Shady Grove	Walkin' Boss*, When First Unto This Country*, Sweet Sunny South*, Stealin', Hesitation Blues**, Milestones, I Ain't Never Seen Nobody Like You, Two Soldiers, Arabia, E: Ripple		*=Duets, **=only time played. Garcia & Grisman.	2/12/96 0:00:00	197
05/08/92	Warfield Theater	San Francisco	CA	Jack-A-Roe, Long Black Veil, Louis Collins, 16-16, Fields Have Turned Brown, Russian Lullaby, Red Rockin' Chair Blues, She Belongs To Me, Bag's Grove	When First Unto This Country*, I'm Troubled*, Tell It To Me*, Off To Sea Once More, Stealin', Eat My Dust, Down Where The River Bends, Wind and Rain, So What?, E: Ripple		Garcia & Grisman. *=Duets	2/5/96 0:00:00	198
05/09/92	Warfield Theater	San Francisco	CA	Shady Grove, Spring In California, Ballad Of Casey Jones, Short Life Of Trouble, Friend Of The Devil, Dawg's Waltz, Sitting Here In Limbo, Arabia	Walkin' Boss*, When First Unto This Country*, Sweet Sunny South* **, The Thrill Is Gone, Two Soldiers, Rosalie McFall, Stealin', Drink Up And Go Home, Milestones, E: Ripple		Garcia & Grisman. *=Duets, **=both on banjos	1/14/96 0:00:00	199
05/10/92	Warfield Theater	San Francisco	CA	Jack-A-Roe, She Belongs To Me, ???, Louis Collins, Down Where The River Bends, Russian Lullaby, Long Black Veil, So What?	I'm Troubled*, When First Unto This Country*, Tell It To Me*, Red Rockin' Chair Blues, Old Rockin' Chair Blues, Stealin', ???, Fields Have Turned Brown, Bag's Groove, E: Drink Up And Go Home		Garcia & Grisman. *=Duets	1/14/96 0:00:00	200
05/11/92	Warfield Theater	San Francisco	CA	The Thrill Is Gone, Rosalie McFall, Two Soldiers, Grateful Dawg, Louis Collins, Short Life Of Trouble, Oh, Wind and Rain, Milestones	Duets:, Walkin' Boss*, When First Unto This Country*, Sweet Sunny South* **, Shady Grove, Friend Of The Devil, Stealin', Dawg's Waltz, Sitting Here In Limbo, Arabia, I'm My Own Grandpa		Garcia & Grisman. *=Duets, **= Jerry & David on banjo, ***= Jerry on banjo, David on guitar and vocals	1/14/96 0:00:00	201
07/24/92	Cal Expo Amphitheater	Sacramento	CA	How Sweet It Is To Be Loved By You,, He Ain't Give You None, That's What Love Will Make You Do Will Make You Do, Mission In The Rain, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	Shining Star, Struggling Man, Waiting For A Miracle, Money Honey, Don't Let Go, That Lucky Old Sun, Tangled Up In Blue			1/14/96 0:00:00	202
07/26/92	Shoreline Amphitheater	Mountain View	CA	Cats Under The Stars Down Under The Stars, They Love Each Other, Simple Twist Of Fate, Let It Rock, Run For The Roses, My Sisters And Brothers, Deal	Stop That Train, C'est La Vie (You Never Can Tell), Lay Down Sally, The Night They Drove Old The Night They Drove Old Dixie Down, Ruben and Cherise, Gomorrah, Ain't No Bread In The Breadbox, Midnight Moonlight, E: Wonderful World			1/14/96 0:00:00	203
07/29/92	Universal Amhitheater	Universal City	CA	How Sweet It Is To Be Loved By You,, Forever Young, C'est La Vie (You Never Can Tell), Run For The Roses, Dear Prudence, Like A Road, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, And It Stoned Me, Ain't No Bread In The Breadbox, Struggling Man, Russian Lullaby, Don't Let Go, Midnight Moonlight			1/14/96 0:00:00	204
07/31/92	Ventura County Fairgrounds	Ventura	CA	Second That Emotion, Think, He Ain't Give You None, Ruben and Cherise, I Shall Be Released, My Sisters And Brothers, Deal	Shining Star, Tore Up Over You, Waiting For A Miracle, The Night They Drove Old The Night They Drove Old Dixie Down, Lay Down Sally, Midnight Moonlight			1/14/96 0:00:00	205
08/01/92	Irvine Meadows Amphitheater	Laguna Hills	CA	Cats Under The Stars Down Under The Stars, Mission In The Rain, Waiting For A Miracle, Mississippi Moon, Ain't No Bread In The Breadbox, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, Money Honey, Knockin' On Heaven's Door, The Maker, Don't Let Go, Wonderful World		Jerry's fiftieth birthday	1/14/96 0:00:00	206
08/02/92	Devore Field	Southwestern College	Chula Vista, CA	How Sweet It Is To Be Loved By You,, Stop That Train, He Ain't Give You None, C'est La Vie (You Never Can Tell), Lay Down Sally, My Sisters And Brothers, Deal	Shining Star, Waiting For A Miracle, The Maker, Gomorrah, Ain't No Bread In The Breadbox, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	207
10/31/92	Oakland Coliseum Arena	Oakland	CA	How Sweet It Is To Be Loved By You,, Stop That Train, The Maker, C'est La Vie (You Never Can Tell), The Night They Drove Old The Night They Drove Old Dixie Down, Lay Down Sally, Deal	Shining Star, And It Stoned Me, Ain't No Bread In The Breadbox, Wonderful World, Tore Up Over You, Waiting For A Miracle, My Sisters And Brothers, Tangled Up In Blue, E: Werewolves of London Of London		Vince and The Affordables opened	1/14/96 0:00:00	208
12/19/92	Warfield Theater	San Francisco	CA	The The The Way You Do The Things You Do The Things You Do, Mission In The Rain, That's What Love Will Make You Do Will Make You Do, Like A Road, C'est La Vie (You Never Can Tell), Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	Shining Star, Wonderful World It Is, And It Stoned Me, Money Honey, Senor (Tales Of Yankee Power), Don't Let Go, Midnight Moonlight			1/14/96 0:00:00	209
12/21/92	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, Stop That Train, Run For The Roses, Forever Young, Wonderful World It Is, He Ain't Give You None, My Sisters And Brothers, Deal	Shining Star, Struggling Man, Waiting For A Miracle, Tore Up Over You, Lay Down Sally, That Lucky Old Sun, Tangled Up In Blue		Mojo Hana opened	1/14/96 0:00:00	210
10/05/93	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, He Ain't Give You None, Get Out Of My Life, Woman, I Shall Be Released, Ain't No Bread in the Ain't No Bread In The Breadbox, My Sisters And Brothers >Deal	The The Way You Do The Things You Do the Things You Do, And It Stoned Me, Think, Knockin' On Heaven's Door, Lay Down Sally, That Lucky Old Sun, Midnight Moonlight		soundcheck included: He Ain't Give You None, Ain't No Bread in the Breadbox, Wonderful World, Instrumental Jam	1/14/96 0:00:00	211
10/06/93	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars, Stop That Train, Let It Rock, Run For The Roses, Mississippi Moon, It's A Wonderful World, Wonderful World, Lay Down Sally	Shining Star, The Maker, Simple Twist Of Fate of Fate, Tore Up Over You Over You, Don't Let Go, Tangled Up In Blue			1/14/96 0:00:00	212
10/08/93	Warfield Theater	San Francsico	CA	Second That Emotion, They Love Each Other, Money Honey, Forever Young, Ain't No Bread In The Breadbox, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, And It Stoned Me, The Maker, Think, Rubin And Cherise, Lucky Ol' Sun, Midnight Moonlight			1/14/96 0:00:00	213
10/31/93	Brendan Byrne Arena	East Rutherford	NJ	How Sweet It Is To Be Loved By You,, He Ain't Give You None, Forever Young, Run For The Roses, Money Honey, Lay Down Sally, My Sisters And Brothers, Deal	Shining Star, The Maker, Tore Up Over You Over You, Ain't No Bread In The Breadbox, It's A Wonderful World, That Lucky Old Sun, Midnight Moonlight, E: Werewolves of London Of London		Halloween show	1/14/96 0:00:00	214
11/01/93	Nassau Coliseum	Uniondale	NY	Cats Under The Stars Down Under The Stars, Stop That Train, Let it Rock, Simple Twist Of Fate of Fate, Ain't No Bread In The Breadbox, Struggling Man, My Sisters And Brothers, Deal	The The The Way You Do The Things You Do The Things You Do, And it And It Stoned Me, Think, Rubin And Cherise, Don't Let Go, Tangled Up In Blue in Blue			1/14/96 0:00:00	215
11/03/93	Knickerbocker Arena	Albany	NY	How Sweet It Is To Be Loved By You,, They Love Each Other, Freight Train*, I Shall Be Released, Run For The Roses, Dear Prudence, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, The Maker, Money Honey, Russian Lullaby, Ain't No Bread In The Breadbox, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight		*=Freight Train is the Elizabeth Cotten tune.  A string had broke on Kahn's bass, so after telling the audience:  "We're fixing a string on the bass, so y'all talk amongst yourselves", Jerry led Melvin and Kemper through a soft, sincere reading:  Jer on his acoustic patch and Melvin on piano.	1/14/96 0:00:00	216
11/04/93	Rochester War Memorial	Rochester	NY	Second That Emotion, Waiting For A Miracle, Get Out Of My Life, Lay Down Sally, My Sisters And Brothers->Deal	The The The Way You Do The Things You Do The Things You Do, The Maker, Wonderful World, Tore Up Over You Over You, Don't Let Go->That Lucky Old Sun, Tangled Up In Blue			1/14/96 0:00:00	217
11/05/93	Buffalo Memorial Auditorium	Buffalo	NY	Cats Under The Stars Down Under The Stars Under The Stars, Mission In The Rain, Simple Twist Of Fate, That's What Love Will Make You Do Will Make You Do, Ain't No Bread In The Breadbox, Like A Road, Deal	Shining Star, The Maker, Think, Rubin And Cherise, Gomorrah, The Night They Drove Old The Night They Drove Old Dixie Down, How Sweet It Is To Be Loved By You,		Simply a GREAT show! Not a flat moment, and Jerry was ON all night. Reuben rocked Buffalo harder than a Bills game...get the tapes! Easily the best show of Thruway Tour '1993!	1/14/96 0:00:00	218
11/07/93	USAir Arena	Unk City	Unk State	How Sweet It Is To Be Loved By You,, Stop That Train, C'est La Vie (You Never Can Tell), Run For The Roses, Senor (Tales Of Yankee Power), My Sisters And Brothers, Everybody Needs Somebody  To Love	The The The Way You Do The Things You Do The Things You Do, Waiting for a Waiting For A Miracle, Money Honey, Knockin' on Knockin' On Heaven's Door, Don't Let Go, Mississippi Moon, Tangled Up In Blue			1/14/96 0:00:00	219
11/08/93	Unknown Venue	Hartford	CT	Cats Under The Stars Down Under The Stars, They Love Each Other, He Ain't Give You None, Lazy Bones, Lay Down Sally, My Sisters And Brothers, Deal, II, Second that Emotion, And It Stoned Me, Think, Ain't No Bread In The Breadbox, That Lucky Old Sun, Midnight Moonlight				1/14/96 0:00:00	220
11/09/93	Cumberland County Civic Center	Portland	ME	How Sweet It Is To Be Loved By You,, Think (Stop That Train), Let it Rock, Forever Young, Ain't No Bread In The Breadbox >Promised Land (Sisers & Brothers) >Somebody to Love	Shining Star, Russian Lullaby, Tore Up Over You, Rubin And Cherise, Wonderful World, The Maker, Tangled Up In Blue in Blue			1/14/96 0:00:00	221
11/11/93	Providence Civic Center	Providence	RI	Cats Under The Stars Down Under The Stars, Mission In The Rain in the Rain, That's What Love Will Make You Do Will Make you Do, Simple Twist Of Fate of Fate, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	The Way you Do the THings you Do, He Ain't Give You None, Dear Prudence, When the Hunter Gets the Game (?), Don't Let Go, Midnight Moonlight			1/14/96 0:00:00	222
11/12/93	Madison Square Garden	New York	NY	How Sweet It Is To Be Loved By You,, They Love Each Other, Forever Young, Struggling Man, Money Honey, My Sisters And Brothers, Lay Down Sally	Shining Star, C'est La Vie (You Never Can Tell), Wonderful World, The Maker, Don't Let Go, That Lucky Old Sun, Tangled Up In Blue		David Murray sat in with the band. He didn't seem to play on The Maker	1/14/96 0:00:00	223
11/14/93				Cats Under The Stars Down Under The Stars, Stop that Train, Let it Rock, Run for the Roses, Ain't No Bread In The Breadbox, Senor (Tales Of Yankee Power), Deal	Second that Emotion, It And It Stoned Me, Tore Up Over You, Lazy Bones, Eyes of the Maker*, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight		*=only time played	2/12/96 0:00:00	224
11/15/93	Centrum	Worcester	MA	How Sweet It Is To Be Loved By You,, And It Stoned Me, Get Out Of My Life, Simple Twist Of Fate, Lay Down Sally, Like A Road, Deal	Shining Star, Waiting For A Miracle, Think, Rubin And Cherise And Cherise, Gomorrah, Midnight Moonlight, The Maker			1/14/96 0:00:00	225
11/16/93	Spectrum	Philadelphia	PA	Second That Emotion, Stop That Train, Mission In The Rain, Run For The Roses, Ain't No Bread In The Breadbox, My Sisters And Brothers, Everybody Needs Somebody  To Love	The The The Way You Do The Things You Do The Things You Do, The Maker, Money Honey, Wonderful World, Don't Let Go, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	226
11/18/93	Richmond Coliseum	Richmond	Va	Cats Under The Stars Down Under The Stars, And It Stoned Me, Simple Twist Of Fate of Fate, Run for the Roses, Ain't No Bread In The Breadbox, My Sisters And Brothers-> Deal	Way you do the things you do, Forever Young, Tore Up Over You, Wonderful World, The Maker, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	227
11/19/93	Unknown Venue	Hampton	Unk	How Sweet It Is To Be Loved By You,, Stop that Train, Money Honey, Lay Down Sally, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, Struggling Man, The Maker, Don't Let Go, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	228
01/12/94				Teddy Bears' Picnic, Jack-a-Roe, Dark as a Dungeon*, Bow Wow*, Two Soldiers, Friend Of The Devil, Louis Collins, Stealin'	Jenny Jenkins, Walkin' Boss, When First unto this Country, Milestones, Sitting Here In Limbo, Russian Lullaby, I Ain't Never Seen Nobody Like You, Bag's Groove, Ripple		*=only time played. Garcia & Grisman	2/12/96 0:00:00	229
01/13/94	Warfield Theatre	San Francisco	CA	Shady Grove, Long Black Veil, Rosalie McFall, Dawg's Waltz, Freight Train, Hot Corn Cold Corn, Hot Corn Cold Corn, Little Red Rockin' Chair Blues, Grateful Dawg	Troubled In Mind, Ballad of Casey Jones, There Ain't No Bugs on Me*, So What?, Rockin' Chair Blues, Stealin', Poison Glass of Wine, Drink Up And Go Home, Arabia		*=only time played. Garcia & Grisman	1/14/96 0:00:00	230
02/04/94	Unknown Venue	Unk City	Unk State	How Sweet It Is To Be Loved By You, it Is, Stop that Train, C'est La Vie (You Never Can Tell), Lay Down Sally, Struggling Man, My Sisters And Brothers, Deal	Shining Star, Money Honey, Wonderful World, The Maker, Don't Let Go, Night they Drove Ol' The Night They Drove Old The Night They Drove Old Dixie Down, Midnite Moonlight			1/14/96 0:00:00	231
02/05/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,			w/Melvin Seals & Choir	1/25/96 0:00:00	232
02/06/94	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars Under The Stars, Mission In The Rain, Like A Road, Let It Rock, Ain't No Bread In The Breadbox, My Sisters And Brothers, Everybody Needs Somebody  To Love	The Harder They Come, Money Honey, The Maker, Lazy Bones, Don't Let Go, Gomorrah, Tangled Up In Blue		Dave Kemper was not the drummer for this run; Donny Baldwin, formerly of Starship, was the drummer	1/14/96 0:00:00	233
03/09/94	Warfield Theatre	San Francisco	CA	How Sweet It Is To Be Loved By You,, Stop That Train, Forever Young, Let it Rock, What a Wonderful World, My Sisters And Brothers, Lay Down Sally	Shining Star, The Maker, Tore Up Over You, The Harder They Come, Don't Let Go, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	234
04/18/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, And It Stoned Me, Let It Rock, Run For The Roses, Like a Road, My Sisters And Brothers, Deal	The Harder They Come, Wonderful World, Tore Up Over You, Ain't No Bread In The Breadbox, Mission In The Rain, The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	235
04/19/94	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars Under The Stars, He Ain't Give You None, Struggling Man, Dear Prudence, Money Honey, My Sisters And Brothers, Everybody Needs Somebody  To Love	The The The Way You Do The Things You Do The Things You Do, The Maker, Simple Twist Of Fate, Lay Down Sally, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	236
04/20/94	Warfield Theater	San Francisco	CA	I'll Take A Melody, Get Out Of My Life, Forever Young, Run For The Roses, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	Shining Star, Think, Senor (Tales Of Yankee Power), Don't Let Go, Mississippi Moon, Tangled Up In Blue			1/14/96 0:00:00	237
04/25/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, They Love Each Other, Waiting For A Miracle, Knockin' On Heaven's Door, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	The Harder They Come, Mission In The Rain, C'est La Vie (You Never Can Tell), Money Honey, Rubin And Cherise, Senor (Tales Of Yankee Power), Midnight Moonlight			1/14/96 0:00:00	238
04/26/94	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars Down Under the Stars, Stop That Train, That's What Love Will Make You Do Will Make You Do, Forever Young, Lay Down Sally, My Sisters And Brothers, Everybody Needs Somebody  To Love	The The Way You Do The Things You Do the Things You Do, He Ain't Give You None, Struggling Man, The Maker, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	239
04/27/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, Waiting for a Waiting For A Miracle, Simple Twist Of Fate of Fate, Run for the Roses, Dear Prudence, My Sisters And Brothers, Deal	Shining Star, Tore Up Over You, What a Wonderful World, Rubin And Cherise, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	240
05/04/94	Warfield Theater	San Francisco	CA	The Thrill Is Gone, Louis Collins (Angels Laid Him Away), Bag's Groove, Hot Corn Cold Corn, Rockin' Chair Blues, Jack-a-Roe, Goodnight Irene, Dawgnation	Walkin' Boss*, When First Unto This Country*, Teddy Bears' Picnic, Milestones, Sitting Here In Limbo, Russian Lullaby, Stealin', Arabia		Garcia & Grisman, w/ Jim Kerwin & Joe Craven, *= Garcia & Grisman duets	1/14/96 0:00:00	241
05/05/94	Warfield Theater	San Francisco	CA	Shady Grove, Freight Train, Grateful Dawg (the further adventures of), Two Soldiers, Bag's Groove, Sitting Here In Limbo, Stealin', Milestones	Jenny Jenkins*, When First Unto This Country*, w/ band:, So What?, I Ain't Never Seen Nobody Like You, Rockin' Chair Blues, Teddy Bears' Picnic, Dawgnation, Goodnight Irene		Garcia & Grisman, w/ Jim Kerwin & Joe Craven. *=Garcia/Grisman duets	1/14/96 0:00:00	242
05/13/94	Blockbuster Pavilion	Glen Helen	CA	How Sweet It Is To Be Loved By You, It is, They Love Each Other, Forever Young, Run for the Roses, Dear Prudence, My Sisters And Brothers, Deal	The Harder They Come, Mission In The Rain, And It Stoned Me, Think, Ain't No Bread In The Breadbox, That Lucky Old Sun, Midnight Moonlight.			1/14/96 0:00:00	243
05/14/94	Ventura Raceway (Fairgrounds)	Ventura	CA	Cats Under The Stars Down Under The Stars, C'est La Vie (You Never Can Tell), Get Out Of My Life, Like A Road, Lay Down Sally, My Sisters And Brothers, Deal	Second That Emotion, He Ain't Give You None, Struggling Man, Money Honey, Don't Let Go, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	244
05/15/94	Irvine Meadows Amphitheatre	Irvine	Ca	How Sweet It Is To Be Loved By You,, They Love Each Other, Let It Rock, Run For The Roses, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	Shining Star, Tore Up Over You Over You, Wonderful World (Sam Cooke's), Simple Twist Of Fate of Fate, The Maker, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	245
05/17/94	Starlight Bowl	San Diego	CA	Cats Under The Stars Down Under The Stars Under The Stars, Waiting For A Miracle, I Shall Be Released, That's What Love Will Make You Do Will Make You Do, Lay Down Sally, My Sisters And Brothers, Everybody Needs Somebody  To Love to Love	The The The Way You Do The Things You Do The Things You Do, The Maker, Russian Lullaby, Think, Rubin And Cherise, Gomorrah, Midnight Moonlight			1/14/96 0:00:00	246
05/18/94	Starlight Bowl	San Diego	CA	How Sweet It Is To Be Loved By You,, Stop That Train, Simple Twist Of Fate of Fate, Run For the Roses, Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	Shining Star, Struggling Man, And It Stoned Me, Don't Let Go, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	247
05/19/94	Desert Sky Pavillion	Phoenix	AZ	How Sweet It Is To Be Loved By You,, Waiting For A Miracle, Money Honey, Dear Prudence, My Sisters And Brothers			After about an hour of set break,  a lot of staff people got on stage and an announcement was made that Jerry had the flu, could not get his strength back and that the second set was cancelled.  Jerry looked really bad during the first set.  More lyrics forgotten then remembered;  meandering leads -- sounds like vintage 84 or 85 to me.  I hope it's really the flu.	1/14/96 0:00:00	248
08/12/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, They Love Each Other, Simple Twist Of Fate, Run For The Roses, He Ain't Give You None, No Bread In The Ain't No Bread In The Breadbox, My Sisters And Brothers, Deal	The The The Way You Do The Things You Do The Things You Do, It And It Stoned Me, Tore Up Over You Over You, Wonderful World, The Maker, That Lucky Old Sun, Midnight Moonlight			1/14/96 0:00:00	249
08/13/94	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars Under The Stars, Stop That Train, Dear Prudence, Mission In The Rain, I Shall Be Released, My Sisters And Brothers, Deal	The Harder They Come, Like A Road, Think, Russian Lullaby, Don't Let Go, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	250
08/14/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, Waiting For A Miracle, C'est La Vie (You Never Can Tell), Mississippi Moon, Lay Down Sally, My Sisters And Brothers, Everybody Needs Somebody  To Love	Shining Star, Struggling Man, It And It Stoned Me, Tore Up Over You Over You, The Maker, Gomorrah, Tangled Up In Blue			1/14/96 0:00:00	251
09/01/94	Warfield Theater	San Francisco	CA	How Sweet It Is To Be Loved By You,, Get Out Of My Life, Run For The Roses, Simple Twist Of Fate, No Bread In The Ain't No Bread In The Breadbox, Johnny Too Bad*, Deal	Second That Emotion, The Maker, Tore Up Over You Over You, Evangeline, Don't Let Go, That Lucky Old Sun, Midnight Moonlight		*=1st Johnny Too Bad. Johnny Too Bad is from the movie "The Harder They Come".	1/14/96 0:00:00	252
09/02/94	Warfield Theater	San Francisco	CA	Cats Under The Stars Down Under The Stars, He Ain't Give You None, Struggling Man, That's What Love Will Make You Do Will Make You Do, Wonderful World, My Sisters And Brothers, Deal	Shining Star-> Dear Prudence, Lay Down Sally, The Night They Drove Old The Night They Drove Old Dixie Down, Midnight Moonlight			1/14/96 0:00:00	253
